,problem,correct_solution,intermediate_1,intermediate_2,intermediate_3,intermediate_4
0,"[9, 8, 5, 7] ⋅ [9, 7, 7, 5]",207,81,56,35,35
1,"[8, 8, 7, 4] ⋅ [5, 4, 7, 4]",137,40,32,49,16
2,"[4, 3, 3, 9] ⋅ [5, 3, 4, 7]",104,20,9,12,63
3,"[7, 8, 9, 8] ⋅ [4, 8, 5, 7]",193,28,64,45,56
4,"[4, 9, 5, 8] ⋅ [3, 5, 9, 7]",158,12,45,45,56
5,"[9, 3, 5, 3] ⋅ [8, 5, 9, 7]",153,72,15,45,21
6,"[9, 9, 7, 9] ⋅ [7, 8, 2, 3]",176,63,72,14,27
7,"[2, 2, 8, 5] ⋅ [5, 8, 5, 8]",106,10,16,40,40
8,"[9, 7, 7, 2] ⋅ [8, 4, 2, 8]",130,72,28,14,16
9,"[9, 5, 2, 5] ⋅ [3, 3, 2, 4]",66,27,15,4,20
10,"[2, 5, 9, 7] ⋅ [8, 3, 7, 3]",115,16,15,63,21
11,"[5, 4, 3, 7] ⋅ [3, 3, 9, 9]",117,15,12,27,63
12,"[7, 7, 5, 9] ⋅ [7, 5, 3, 4]",135,49,35,15,36
13,"[8, 5, 5, 3] ⋅ [8, 9, 8, 9]",176,64,45,40,27
14,"[9, 9, 9, 9] ⋅ [4, 4, 7, 7]",198,36,36,63,63
15,"[8, 9, 8, 3] ⋅ [5, 9, 4, 8]",177,40,81,32,24
16,"[8, 2, 3, 5] ⋅ [8, 8, 8, 4]",124,64,16,24,20
17,"[2, 7, 4, 8] ⋅ [5, 2, 8, 7]",112,10,14,32,56
18,"[3, 5, 7, 4] ⋅ [8, 4, 9, 4]",123,24,20,63,16
19,"[4, 4, 5, 7] ⋅ [3, 7, 5, 4]",93,12,28,25,28
20,"[7, 4, 7, 4] ⋅ [4, 4, 9, 4]",123,28,16,63,16
21,"[7, 3, 2, 5] ⋅ [3, 7, 8, 8]",98,21,21,16,40
22,"[5, 5, 9, 7] ⋅ [2, 8, 8, 7]",171,10,40,72,49
23,"[2, 8, 7, 8] ⋅ [7, 4, 9, 4]",141,14,32,63,32
24,"[8, 2, 8, 7] ⋅ [9, 2, 7, 7]",181,72,4,56,49
25,"[8, 4, 4, 2] ⋅ [4, 5, 7, 4]",88,32,20,28,8
26,"[7, 3, 4, 2] ⋅ [4, 9, 8, 2]",91,28,27,32,4
27,"[9, 4, 4, 7] ⋅ [5, 4, 9, 8]",153,45,16,36,56
28,"[5, 4, 9, 8] ⋅ [9, 3, 2, 9]",147,45,12,18,72
29,"[8, 9, 4, 4] ⋅ [2, 3, 8, 7]",103,16,27,32,28
30,"[3, 4, 9, 9] ⋅ [9, 4, 3, 3]",97,27,16,27,27
31,"[7, 2, 4, 9] ⋅ [8, 4, 8, 5]",141,56,8,32,45
32,"[4, 9, 8, 7] ⋅ [5, 2, 5, 5]",113,20,18,40,35
33,"[5, 5, 2, 9] ⋅ [3, 7, 4, 8]",130,15,35,8,72
34,"[5, 8, 4, 3] ⋅ [5, 5, 8, 3]",106,25,40,32,9
35,"[7, 8, 9, 7] ⋅ [9, 9, 3, 8]",218,63,72,27,56
36,"[7, 5, 7, 4] ⋅ [5, 9, 9, 7]",171,35,45,63,28
