,problem,correct_solution,intermediate_1,intermediate_2
0,"[2, 2, 5] ⋅ [-7, -5, 3]",-9,-14,15
1,"[2, -10, -3] ⋅ [5, -8, -9]",117,10,27
2,"[5, -9, -4] ⋅ [9, 9, 7]",-64,45,-28
3,"[-7, 6, -6] ⋅ [9, -2, 1]",-81,-63,-6
4,"[-2, 4, -4] ⋅ [-7, -4, 1]",-6,14,-4
5,"[4, 5, 1] ⋅ [-9, -1, 8]",-33,-36,8
6,"[3, 7, 6] ⋅ [4, 6, 2]",66,12,12
7,"[-7, 6, 9] ⋅ [-2, 1, -6]",-34,14,-54
8,"[2, -5, -7] ⋅ [3, 2, 9]",-67,6,-63
9,"[1, 5, 6] ⋅ [4, -4, 9]",38,4,54
10,"[9, 5, 8] ⋅ [-4, 0, 0]",-36,-36,0
11,"[9, -9, -8] ⋅ [-9, 2, 9]",-171,-81,-72
12,"[9, 5, -2] ⋅ [6, 8, 0]",94,54,0
13,"[7, -2, -3] ⋅ [-7, 1, -3]",-42,-49,9
14,"[0, -2, -2] ⋅ [-6, -3, 9]",-12,0,-18
15,"[-8, 2, 4] ⋅ [2, 1, -6]",-38,-16,-24
16,"[2, -5, -2] ⋅ [6, 4, -9]",10,12,18
17,"[9, -8, -9] ⋅ [-7, -9, -7]",72,-63,63
18,"[-8, 1, -3] ⋅ [4, -4, 8]",-60,-32,-24
19,"[4, 0, 6] ⋅ [5, -3, 0]",20,20,0
20,"[-3, -10, 3] ⋅ [-8, 1, 3]",23,24,9
21,"[4, -2, 8] ⋅ [-5, 3, -8]",-90,-20,-64
22,"[-8, -8, 1] ⋅ [1, 4, 1]",-39,-8,1
23,"[-1, 0, 2] ⋅ [-3, -2, -5]",-7,3,-10
24,"[3, 1, 9] ⋅ [4, -2, -6]",-44,12,-54
25,"[-6, -3, 6] ⋅ [-4, -3, -5]",3,24,-30
26,"[4, -4, 8] ⋅ [1, 9, 6]",16,4,48
27,"[-6, 1, 0] ⋅ [-2, 6, 9]",18,12,0
28,"[-2, 1, 5] ⋅ [2, -1, 8]",35,-4,40
29,"[8, -1, 9] ⋅ [-10, -8, 4]",-36,-80,36
30,"[1, 7, -9] ⋅ [-6, -4, -3]",-7,-6,27
31,"[-1, -2, 6] ⋅ [-6, 1, -7]",-38,6,-42
32,"[-7, -1, 6] ⋅ [9, 8, -3]",-89,-63,-18
33,"[4, -4, -9] ⋅ [8, 5, -2]",30,32,18
34,"[-2, 9, 9] ⋅ [7, 5, -1]",22,-14,-9
35,"[9, 8, 1] ⋅ [-10, -5, 4]",-126,-90,4
36,"[3, -2, -9] ⋅ [2, 7, 8]",-80,6,-72
37,"[0, -4, 4] ⋅ [-2, -4, -7]",-12,0,-28
38,"[8, 9, 2] ⋅ [-4, -7, -7]",-109,-32,-14
39,"[8, -3, -8] ⋅ [5, -10, 2]",54,40,-16
40,"[9, 0, 9] ⋅ [6, 5, -6]",0,54,-54
41,"[-10, -5, -6] ⋅ [6, 5, -8]",-37,-60,48
42,"[-8, -5, -4] ⋅ [1, -3, 6]",-17,-8,-24
43,"[-3, 3, -4] ⋅ [0, 4, -8]",44,0,32
44,"[-3, -9, -7] ⋅ [-7, -6, 0]",75,21,0
