,problem,correct_solution,intermediate_1,intermediate_2
0,((30+69)+(17+55)),171,99,72
1,((34+30)+(12+68)),144,64,80
2,((49+68)+(24+65)),206,117,89
3,((92+91)+(67+58)),308,183,125
4,((52+52)+(62+77)),243,104,139
5,((19+68)+(58+79)),224,87,137
6,((95+21)+(63+48)),227,116,111
7,((43+33)+(75+66)),217,76,141
8,((85+25)+(99+33)),242,110,132
9,((12+66)+(46+73)),197,78,119
10,((27+78)+(79+35)),219,105,114
11,((25+74)+(51+90)),240,99,141
12,((71+63)+(79+85)),298,134,164
13,((46+72)+(49+28)),195,118,77
14,((34+85)+(43+58)),220,119,101
15,((81+70)+(19+73)),243,151,92
16,((75+24)+(57+77)),233,99,134
17,((81+28)+(63+50)),222,109,113
18,((19+61)+(74+72)),226,80,146
19,((34+77)+(42+76)),229,111,118
20,((60+89)+(27+74)),250,149,101
21,((96+42)+(26+56)),220,138,82
22,((62+80)+(37+58)),237,142,95
23,((45+32)+(62+34)),173,77,96
24,((64+34)+(82+19)),199,98,101
25,((57+37)+(61+97)),252,94,158
26,((39+56)+(16+75)),186,95,91
27,((63+32)+(46+78)),219,95,124
28,((37+32)+(27+86)),182,69,113
29,((12+22)+(67+11)),112,34,78
30,((84+61)+(58+13)),216,145,71
31,((46+11)+(67+20)),144,57,87
32,((21+67)+(17+47)),152,88,64
33,((35+35)+(81+11)),162,70,92
34,((15+38)+(43+41)),137,53,84
35,((68+65)+(59+50)),242,133,109
36,((91+88)+(83+49)),311,179,132
37,((40+72)+(84+38)),234,112,122
38,((10+94)+(36+24)),164,104,60
39,((48+29)+(32+19)),128,77,51
40,((13+88)+(91+75)),267,101,166
41,((75+48)+(77+18)),218,123,95
42,((34+28)+(18+86)),166,62,104
43,((80+39)+(98+97)),314,119,195
44,((88+26)+(15+25)),154,114,40
45,((27+33)+(79+93)),232,60,172
46,((49+88)+(78+81)),296,137,159
47,((99+24)+(76+25)),224,123,101
48,((48+84)+(41+16)),189,132,57
49,((76+99)+(74+53)),302,175,127
50,((84+70)+(33+59)),246,154,92
51,((37+93)+(16+66)),212,130,82
52,((86+92)+(68+25)),271,178,93
53,((75+20)+(57+54)),206,95,111
54,((40+68)+(55+38)),201,108,93
55,((70+76)+(60+90)),296,146,150
56,((73+82)+(64+62)),281,155,126
57,((34+91)+(65+49)),239,125,114
58,((95+75)+(90+31)),291,170,121
59,((12+54)+(60+20)),146,66,80
60,((50+68)+(88+51)),257,118,139
61,((27+60)+(59+33)),179,87,92
62,((21+39)+(44+27)),131,60,71
63,((69+48)+(57+35)),209,117,92
64,((58+18)+(82+78)),236,76,160
65,((58+47)+(82+37)),224,105,119
66,((27+40)+(45+57)),169,67,102
67,((23+26)+(14+31)),94,49,45
68,((18+65)+(22+95)),200,83,117
69,((48+81)+(13+71)),213,129,84
70,((38+37)+(53+99)),227,75,152
71,((97+41)+(42+78)),258,138,120
72,((93+67)+(60+86)),306,160,146
73,((52+15)+(27+25)),119,67,52
74,((39+76)+(44+93)),252,115,137
75,((13+65)+(86+53)),217,78,139
76,((45+25)+(79+14)),163,70,93
77,((71+98)+(26+61)),256,169,87
78,((56+62)+(17+33)),168,118,50
79,((42+87)+(93+67)),289,129,160
80,((65+33)+(32+32)),162,98,64
81,((10+98)+(85+47)),240,108,132
82,((28+38)+(13+64)),143,66,77
83,((97+86)+(77+43)),303,183,120
84,((60+74)+(44+36)),214,134,80
85,((87+32)+(19+87)),225,119,106
86,((28+12)+(28+93)),161,40,121
87,((60+37)+(51+81)),229,97,132
88,((99+92)+(67+43)),301,191,110
89,((92+34)+(15+14)),155,126,29
90,((89+76)+(97+42)),304,165,139
91,((45+13)+(45+47)),150,58,92
92,((63+23)+(19+70)),175,86,89
93,((46+85)+(19+92)),242,131,111
94,((38+98)+(62+79)),277,136,141
95,((82+68)+(65+59)),274,150,124
96,((55+80)+(53+39)),227,135,92
97,((48+47)+(37+87)),219,95,124
98,((38+35)+(98+13)),184,73,111
99,((95+24)+(11+36)),166,119,47
100,((58+80)+(16+86)),240,138,102
101,((73+65)+(54+45)),237,138,99
102,((48+68)+(78+99)),293,116,177
103,((38+91)+(85+21)),235,129,106
104,((98+38)+(77+84)),297,136,161
105,((51+93)+(39+14)),197,144,53
106,((86+96)+(31+84)),297,182,115
107,((72+95)+(93+87)),347,167,180
108,((64+63)+(53+88)),268,127,141
109,((29+62)+(61+68)),220,91,129
110,((81+72)+(69+88)),310,153,157
111,((39+14)+(74+73)),200,53,147
112,((74+85)+(37+34)),230,159,71
113,((65+96)+(10+89)),260,161,99
114,((92+51)+(50+47)),240,143,97
115,((74+43)+(96+26)),239,117,122
116,((64+74)+(36+77)),251,138,113
117,((80+12)+(73+58)),223,92,131
118,((60+88)+(87+11)),246,148,98
119,((65+91)+(73+10)),239,156,83
120,((32+34)+(54+28)),148,66,82
121,((54+17)+(30+66)),167,71,96
122,((89+14)+(32+34)),169,103,66
123,((17+49)+(33+91)),190,66,124
124,((29+61)+(91+60)),241,90,151
125,((33+79)+(91+35)),238,112,126
126,((83+14)+(86+92)),275,97,178
127,((43+71)+(98+48)),260,114,146
128,((79+64)+(97+74)),314,143,171
129,((33+41)+(75+71)),220,74,146
130,((56+11)+(80+57)),204,67,137
131,((29+50)+(95+24)),198,79,119
132,((17+29)+(84+86)),216,46,170
133,((24+85)+(23+65)),197,109,88
134,((44+33)+(17+72)),166,77,89
135,((69+45)+(88+58)),260,114,146
136,((51+46)+(42+70)),209,97,112
137,((99+75)+(88+30)),292,174,118
138,((25+76)+(22+26)),149,101,48
139,((72+51)+(17+57)),197,123,74
140,((83+85)+(89+71)),328,168,160
141,((26+86)+(29+32)),173,112,61
142,((49+35)+(17+67)),168,84,84
143,((65+37)+(19+62)),183,102,81
144,((30+72)+(18+23)),143,102,41
145,((90+88)+(31+87)),296,178,118
146,((10+47)+(64+25)),146,57,89
147,((21+60)+(54+37)),172,81,91
148,((79+69)+(69+67)),284,148,136
149,((75+90)+(17+27)),209,165,44
150,((10+34)+(76+16)),136,44,92
151,((83+29)+(51+40)),203,112,91
152,((20+78)+(82+56)),236,98,138
153,((56+46)+(37+97)),236,102,134
154,((51+35)+(46+14)),146,86,60
155,((72+26)+(26+53)),177,98,79
156,((72+20)+(23+56)),171,92,79
157,((56+92)+(14+90)),252,148,104
158,((66+29)+(72+92)),259,95,164
159,((84+87)+(46+11)),228,171,57
160,((61+92)+(38+65)),256,153,103
161,((80+72)+(10+61)),223,152,71
162,((30+34)+(80+23)),167,64,103
163,((35+12)+(15+76)),138,47,91
164,((20+43)+(74+79)),216,63,153
165,((45+18)+(86+14)),163,63,100
166,((46+68)+(56+53)),223,114,109
167,((23+11)+(33+28)),95,34,61
168,((55+94)+(70+66)),285,149,136
169,((39+42)+(50+11)),142,81,61
170,((53+81)+(26+49)),209,134,75
171,((10+62)+(57+63)),192,72,120
172,((49+14)+(83+45)),191,63,128
173,((60+54)+(57+42)),213,114,99
174,((47+48)+(20+67)),182,95,87
175,((95+23)+(93+48)),259,118,141
176,((16+19)+(48+89)),172,35,137
177,((95+52)+(47+46)),240,147,93
178,((59+95)+(47+78)),279,154,125
179,((11+53)+(45+42)),151,64,87
180,((12+59)+(54+25)),150,71,79
181,((66+49)+(40+26)),181,115,66
182,((93+37)+(88+54)),272,130,142
183,((92+43)+(37+25)),197,135,62
184,((16+67)+(19+98)),200,83,117
185,((50+13)+(66+92)),221,63,158
186,((83+82)+(98+88)),351,165,186
187,((13+97)+(47+64)),221,110,111
188,((10+77)+(73+36)),196,87,109
189,((25+94)+(97+80)),296,119,177
190,((50+78)+(58+90)),276,128,148
191,((98+70)+(71+85)),324,168,156
192,((24+51)+(78+15)),168,75,93
193,((66+36)+(98+41)),241,102,139
194,((51+91)+(93+53)),288,142,146
195,((93+18)+(85+97)),293,111,182
196,((62+44)+(13+38)),157,106,51
197,((63+24)+(97+77)),261,87,174
198,((33+12)+(85+73)),203,45,158
199,((94+56)+(79+78)),307,150,157
200,((91+94)+(88+60)),333,185,148
201,((60+13)+(97+71)),241,73,168
202,((10+11)+(64+90)),175,21,154
203,((62+38)+(44+35)),179,100,79
204,((56+77)+(74+91)),298,133,165
205,((64+92)+(60+55)),271,156,115
206,((92+14)+(44+22)),172,106,66
207,((77+39)+(59+34)),209,116,93
208,((24+36)+(68+89)),217,60,157
209,((74+14)+(27+45)),160,88,72
210,((62+52)+(30+72)),216,114,102
211,((84+35)+(51+31)),201,119,82
212,((65+53)+(95+84)),297,118,179
213,((66+89)+(47+73)),275,155,120
214,((40+78)+(59+47)),224,118,106
215,((48+64)+(43+33)),188,112,76
216,((14+90)+(43+96)),243,104,139
217,((94+44)+(47+55)),240,138,102
218,((91+79)+(41+27)),238,170,68
219,((16+22)+(33+17)),88,38,50
220,((36+44)+(89+83)),252,80,172
221,((16+83)+(85+39)),223,99,124
222,((39+99)+(71+57)),266,138,128
223,((70+48)+(36+27)),181,118,63
224,((97+15)+(12+68)),192,112,80
225,((21+35)+(51+34)),141,56,85
226,((69+27)+(45+24)),165,96,69
227,((77+74)+(91+88)),330,151,179
228,((27+42)+(69+39)),177,69,108
229,((22+60)+(10+84)),176,82,94
230,((37+65)+(12+28)),142,102,40
231,((24+50)+(54+38)),166,74,92
232,((78+15)+(92+79)),264,93,171
233,((21+73)+(17+13)),124,94,30
234,((16+85)+(24+56)),181,101,80
235,((30+56)+(36+53)),175,86,89
236,((64+74)+(86+29)),253,138,115
237,((17+86)+(35+22)),160,103,57
238,((14+87)+(22+19)),142,101,41
239,((81+51)+(99+78)),309,132,177
240,((62+85)+(87+75)),309,147,162
241,((87+18)+(26+71)),202,105,97
242,((70+99)+(19+81)),269,169,100
243,((13+40)+(98+65)),216,53,163
244,((54+67)+(69+89)),279,121,158
245,((81+36)+(69+85)),271,117,154
246,((27+39)+(77+20)),163,66,97
247,((30+99)+(17+21)),167,129,38
248,((28+96)+(15+80)),219,124,95
249,((81+77)+(78+64)),300,158,142
250,((84+22)+(72+83)),261,106,155
251,((75+76)+(43+21)),215,151,64
252,((29+40)+(11+97)),177,69,108
253,((76+87)+(73+76)),312,163,149
254,((59+91)+(87+27)),264,150,114
255,((74+36)+(70+47)),227,110,117
256,((69+41)+(85+16)),211,110,101
257,((21+70)+(60+72)),223,91,132
258,((89+47)+(17+23)),176,136,40
259,((31+81)+(28+54)),194,112,82
260,((80+88)+(64+40)),272,168,104
261,((17+37)+(54+19)),127,54,73
262,((16+43)+(39+19)),117,59,58
263,((77+37)+(66+38)),218,114,104
264,((10+98)+(80+45)),233,108,125
265,((13+29)+(40+25)),107,42,65
266,((46+15)+(75+59)),195,61,134
267,((29+59)+(54+97)),239,88,151
268,((92+31)+(14+19)),156,123,33
269,((33+70)+(55+31)),189,103,86
